sensor_name,hour,latitude,longitude,avg_pedestrians
Bou231_T,6,-37.81333081,144.96675571,44.6
Bou231_T,7,-37.81333081,144.96675571,122.1
Bou231_T,8,-37.81333081,144.96675571,260.6
Bou231_T,9,-37.81333081,144.96675571,331.2
Bou231_T,10,-37.81333081,144.96675571,445.8
Bou231_T,11,-37.81333081,144.96675571,614.7
Bou231_T,12,-37.81333081,144.96675571,985.1
Bou231_T,13,-37.81333081,144.96675571,1007.7
Bou231_T,14,-37.81333081,144.96675571,826.3
Bou231_T,15,-37.81333081,144.96675571,779.1
Bou231_T,16,-37.81333081,144.96675571,790.1
Bou231_T,17,-37.81333081,144.96675571,847.0
Bou231_T,18,-37.81333081,144.96675571,679.3
Bou231_T,19,-37.81333081,144.96675571,595.1
Bou231_T,20,-37.81333081,144.96675571,468.0
Bou231_T,21,-37.81333081,144.96675571,371.6
Bou231_T,22,-37.81333081,144.96675571,273.4
Bou231_T,23,-37.81333081,144.96675571,177.8
Bou283_T,0,-37.81380668,144.96516718,71.2
Bou283_T,1,-37.81380668,144.96516718,45.7
Bou283_T,2,-37.81380668,144.96516718,35.0
Bou283_T,3,-37.81380668,144.96516718,25.3
Bou283_T,4,-37.81380668,144.96516718,13.3
Bou283_T,5,-37.81380668,144.96516718,16.1
Bou283_T,6,-37.81380668,144.96516718,45.3
Bou283_T,7,-37.81380668,144.96516718,101.0
Bou283_T,8,-37.81380668,144.96516718,258.5
Bou283_T,9,-37.81380668,144.96516718,413.1
Bou283_T,10,-37.81380668,144.96516718,679.7
Bou283_T,11,-37.81380668,144.96516718,1064.4
Bou283_T,12,-37.81380668,144.96516718,1604.2
Bou283_T,13,-37.81380668,144.96516718,1710.2
Bou283_T,14,-37.81380668,144.96516718,1507.1
Bou283_T,15,-37.81380668,144.96516718,1417.9
Bou283_T,16,-37.81380668,144.96516718,1350.3
Bou283_T,17,-37.81380668,144.96516718,1248.7
Bou283_T,18,-37.81380668,144.96516718,905.6
Bou283_T,19,-37.81380668,144.96516718,626.8
Bou283_T,20,-37.81380668,144.96516718,502.2
Bou283_T,21,-37.81380668,144.96516718,345.1
Bou283_T,22,-37.81380668,144.96516718,218.9
Bou283_T,23,-37.81380668,144.96516718,126.7
Bou292_T,0,-37.81349441,144.96515323,86.9
Bou292_T,1,-37.81349441,144.96515323,52.8
Bou292_T,2,-37.81349441,144.96515323,35.1
Bou292_T,3,-37.81349441,144.96515323,23.8
Bou292_T,4,-37.81349441,144.96515323,16.4
Bou292_T,5,-37.81349441,144.96515323,17.0
Bou292_T,6,-37.81349441,144.96515323,66.1
Bou292_T,7,-37.81349441,144.96515323,150.4
Bou292_T,8,-37.81349441,144.96515323,375.3
Bou292_T,9,-37.81349441,144.96515323,645.3
Bou292_T,10,-37.81349441,144.96515323,1067.7
Bou292_T,11,-37.81349441,144.96515323,1699.7
Bou292_T,12,-37.81349441,144.96515323,2436.0
Bou292_T,13,-37.81349441,144.96515323,2644.8
Bou292_T,14,-37.81349441,144.96515323,2437.6
Bou292_T,15,-37.81349441,144.96515323,2481.9
Bou292_T,16,-37.81349441,144.96515323,2359.2
Bou292_T,17,-37.81349441,144.96515323,2373.7
Bou292_T,18,-37.81349441,144.96515323,1821.6
Bou292_T,19,-37.81349441,144.96515323,1256.9
Bou292_T,20,-37.81349441,144.96515323,833.8
Bou292_T,21,-37.81349441,144.96515323,518.8
Bou292_T,22,-37.81349441,144.96515323,304.4
Bou292_T,23,-37.81349441,144.96515323,172.5
Bou688_T,0,-37.81686075,144.95358075,172.2
Bou688_T,1,-37.81686075,144.95358075,97.8
Bou688_T,2,-37.81686075,144.95358075,66.6
Bou688_T,3,-37.81686075,144.95358075,29.7
Bou688_T,4,-37.81686075,144.95358075,27.9
Bou688_T,5,-37.81686075,144.95358075,79.5
Bou688_T,6,-37.81686075,144.95358075,211.6
Bou688_T,7,-37.81686075,144.95358075,590.1
Bou688_T,8,-37.81686075,144.95358075,1255.6
Bou688_T,9,-37.81686075,144.95358075,977.4
Bou688_T,10,-37.81686075,144.95358075,849.6
Bou688_T,11,-37.81686075,144.95358075,949.7
Bou688_T,12,-37.81686075,144.95358075,1151.6
Bou688_T,13,-37.81686075,144.95358075,1122.3
