tree_id,scientific_name,diameter_breast_height_cm,tree_latitude,tree_longitude,canopy_id,canopy_area,canopy_diameter
1032734,Photinia x fraseri,,-37.82646483,144.9729628,21529,666.555,29.132
1032741,Quercus robur,40.0,-37.82610674,144.9728791,54114,1234.254,39.642
1032746,Ulmus procera,,-37.82617548,144.9725982,48178,187.836,15.465
1032747,Ulmus x hollandica 'Vegeta',,-37.82607649,144.972626,25396,163.129,14.412
1032751,Ulmus procera,,-37.82562182,144.9726515,40481,2011.539,50.608
1032755,Ulmus procera,,-37.82548567,144.9726212,40481,2011.539,50.608
1032757,Eucalyptus camaldulensis,,-37.82540706,144.9729096,40481,2011.539,50.608
1032758,Ulmus procera,,-37.82539663,144.9725924,40481,2011.539,50.608
1032759,Callitris columellaris,,-37.82533136,144.9727135,40481,2011.539,50.608
1032760,Ulmus x hollandica,,-37.8252871,144.9725508,40481,2011.539,50.608
1032765,Ulmus procera,,-37.8248127,144.972215,30019,380.828,22.02
1032766,Ulmus x hollandica 'Vegeta',,-37.82472242,144.9721402,30019,380.828,22.02
1032769,Populus nigra italica,,-37.82479703,144.9723907,24708,81.777,10.204
1032776,Ulmus procera,,-37.82465549,144.9726962,44512,413.551,22.947
1032807,Ulmus procera,,-37.82568117,144.9735909,15349,4871.844,78.759
1032819,Quercus ilex,,-37.82594132,144.9737444,15349,4871.844,78.759
1032823,Syzygium floribundum,,-37.82604756,144.9737862,15349,4871.844,78.759
1032867,Eucalyptus camaldulensis,,-37.82584334,144.9738666,15349,4871.844,78.759
1032868,Ficus macrophylla,,-37.82565532,144.974244,15349,4871.844,78.759
1032869,Syzygium paniculatum,,-37.82575106,144.9737767,15349,4871.844,78.759
1032877,Pinus radiata,,-37.82545139,144.9739801,15453,1740.875,47.08
1032880,Quercus robur,50.0,-37.82543473,144.9742685,24640,166.359,14.554
1032901,Eucalyptus sideroxylon,45.0,-37.82491899,144.9743623,44535,3294.477,64.766
1032910,Quercus canariensis,40.0,-37.82512427,144.9747011,44535,3294.477,64.766
1032915,Quercus robur,40.0,-37.82533346,144.9749027,40454,392.312,22.35
1032917,Hesperocyparis macrocarpa,90.0,-37.82523863,144.9749814,40454,392.312,22.35
1032926,Hesperocyparis macrocarpa,,-37.82546872,144.9752037,40478,1076.785,37.027
1032928,Fraxinus angustifolia subsp. oxycarpa 'Raywood',45.0,-37.8250685,144.9756098,30025,60.055,8.744
1032931,Pinus canariensis,,-37.82534812,144.9753888,40478,1076.785,37.027
1032936,Ulmus glabra 'Lutescens',30.0,-37.8252809,144.9758823,24613,458.598,24.164
1032939,Gleditsia triacanthos 'Sunburst',,-37.82541538,144.9756583,40478,1076.785,37.027
1032943,Cupressus sempervirens,,-37.82552641,144.9757769,24641,143.496,13.517
1032947,Ulmus glabra 'Lutescens',15.0,-37.82539206,144.9762284,54602,376.625,21.898
1032948,Ligustrum vulgare 'Aureovariegatum',10.0,-37.82535013,144.9760432,24613,458.598,24.164
1032953,Cupressus torulosa,40.0,-37.82499182,144.9761297,18247,29889.371,195.08
1032955,Cupressus torulosa,40.0,-37.82510403,144.9763004,18247,29889.371,195.08
1032961,Populus x canadensis,55.0,-37.82486198,144.9759375,18247,29889.371,195.08
1032965,Quercus canariensis,65.0,-37.82500501,144.9762938,18247,29889.371,195.08
1032966,Syzygium paniculatum,40.0,-37.82506474,144.9764006,18247,29889.371,195.08
1032967,Quercus canariensis,55.0,-37.82515914,144.9763758,18247,29889.371,195.08
1032978,Cupressus sempervirens,,-37.82573964,144.975839,39310,650.871,28.787
1032982,Hesperocyparis macrocarpa,,-37.82586081,144.9758176,39310,650.871,28.787
1032984,Cupressus sempervirens,,-37.82588855,144.9756852,39310,650.871,28.787
1033002,Cedrus deodara,,-37.8268079,144.9749063,18247,29889.371,195.08
1033022,Syzygium floribundum,,-37.82602961,144.9758818,18247,29889.371,195.08
1033029,Magnolia doltsopa,,-37.8257905,144.9761183,18247,29889.371,195.08
1033033,Olea europaea,10.0,-37.82555884,144.976695,18247,29889.371,195.08
1033036,Syzygium smithii,,-37.82577103,144.9767837,18247,29889.371,195.08
1033037,Pittosporum undulatum,20.0,-37.82567724,144.9769222,18247,29889.371,195.08
1033039,Syzygium paniculatum,45.0,-37.82523417,144.9765059,18247,29889.371,195.08
1033052,Ulmus x hollandica,46.0,-37.82371652,144.971553,4606,1659.723,45.97
1033055,Ulmus x hollandica,45.0,-37.82357223,144.9714699,4606,1659.723,45.97
1033058,Lophostemon confertus,15.0,-37.82340743,144.9716727,24546,44.453,7.523
1033080,Ulmus procera,80.0,-37.82399619,144.9729318,49868,268.57,18.492
1033081,Quercus cerris,25.0,-37.82403454,144.972517,49280,123.758,12.553
1033090,Lophostemon confertus,30.0,-37.82354805,144.9726293,40440,3400.195,65.797
1033091,Quercus palustris,45.0,-37.82346567,144.9730656,56377,1127.547,37.89
1033105,Lophostemon confertus,30.0,-37.82291467,144.9733807,40440,3400.195,65.797
1033113,Lophostemon confertus,27.0,-37.82315023,144.972632,40440,3400.195,65.797
1033114,Lophostemon confertus,25.0,-37.82342262,144.9725407,40440,3400.195,65.797
1033115,Quercus palustris,35.0,-37.82329962,144.9725804,40440,3400.195,65.797
1033118,Eucalyptus gomphocephala,80.0,-37.82292878,144.9723952,3308,173.445,14.861
1033127,Syzygium paniculatum,25.0,-37.82303981,144.9720927,57783,84.938,10.399
1033131,Eucalyptus botryoides,70.0,-37.82289458,144.9718527,18208,2703.504,58.67
1033133,Ulmus glabra 'Camperdownii',20.0,-37.82324778,144.9716502,24522,13.418,4.133
1033135,Hesperocyparis macrocarpa,55.0,-37.82337512,144.9715543,22286,270.324,18.552
1033136,Ulmus x hollandica 'Vegeta',45.0,-37.82337427,144.9714477,22286,270.324,18.552
1033137,Ulmus x hollandica,40.0,-37.82327381,144.9714624,22286,270.324,18.552
1033139,Ulmus x hollandica 'Vegeta',40.0,-37.82307791,144.971547,18208,2703.504,58.67
1033146,Ulmus x hollandica,60.0,-37.8225398,144.9721423,18208,2703.504,58.67
1033149,Ulmus x hollandica 'Vegeta',40.0,-37.82241167,144.9725122,18208,2703.504,58.67
1033152,Ulmus x hollandica,55.0,-37.82232521,144.9728962,33353,665.703,29.114
1033161,Ulmus x hollandica,50.0,-37.82216256,144.9739421,17871,2517.199,56.613
1033175,Ficus platypoda,70.0,-37.82247915,144.9735521,17871,2517.199,56.613
1033178,Ficus platypoda,50.0,-37.82225462,144.9736227,17871,2517.199,56.613
1033186,Quercus canariensis,70.0,-37.82269944,144.9741124,31588,1356.02,41.552
1033187,Quercus robur,65.0,-37.82275191,144.9739673,31588,1356.02,41.552
1033206,Quercus canariensis,40.0,-37.82293589,144.9753069,2296,141.094,13.403
1033227,Gleditsia triacanthos 'Sunburst',20.0,-37.82227746,144.9740375,17871,2517.199,56.613
1033230,Gleditsia triacanthos 'Sunburst',20.0,-37.82246732,144.9741464,17865,44.727,7.546
1033236,Agathis robusta,40.0,-37.82269699,144.9744033,57748,42.723,7.375
