id,name,category,sub_category,address,latitude,longitude,artist,year,description,material
84,Dinny O'Hern Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Fountain,,-37.7975991057745,144.967306523849,,,,
85,Miraggio [also known as Seated Figure],Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.82401351439,144.974151551243,,,,
86,Faultline,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8211525147875,144.96423807327,,,,
87,William Ievers (Snr) Memorial Drinking Fountain,Memorials & Sculptures,Arts & Heritage - Memorials - Memorial Drinking Fountain,,-37.8028341907642,144.966385560213,,,,
88,Adam Lindsay Gordon Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial Sculpture,,-37.8123634964432,144.973745102602,,,,
89,Boy and Pelican,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8137675152884,144.982771762965,,,,
90,Janet Lady Clarke Memorial Sculpture,Memorials & Sculptures,Arts & Heritage  - Sculpture - Rotunda,,-37.8223354801052,144.971835314604,,,,
91,French Fountain,Memorials & Sculptures,Arts & Heritage  - Sculpture - Fountain,,-37.8049009334589,144.972849862515,,,,
92,John Batman Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Cairn,,-37.8081355068188,144.957645917366,,,,
93,John F. Kennedy Memorial,Memorials & Sculptures,Arts & Heritage  - Memorials - Memorial,,-37.8136597452278,144.976354471097,,,,
94,Coat of Arms,Memorials & Sculptures,Arts & Heritage  - Sculpture - Pavement inlay,,-37.8151041704989,144.96646930561,,,,
95,Tilly Aston Bell,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8253717421153,144.975900160659,,,,
96,"Sir Edward ""Weary"" Dunlop",Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8253098033481,144.971594258329,,,,
97,Pioneer Women's Memorial,Memorials & Sculptures,Arts & Heritage  - Memorials - Garden/Sculpture,,-37.825114779701,144.976076236026,,,,
98,Sir Thomas Blamey Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Memorial,,-37.8263011012613,144.972818905824,,,,
99,Grant's Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Fountain,,-37.8074703758618,144.968593327348,,,,
100,Port Philip Monument,Memorials & Sculptures,Arts & Heritage  - Sculpture - Monument,,-37.8056957677722,144.907290986476,,,,
101,John Pascoe Fawkner Memorial,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8176770551424,144.959995293311,,,,
102,Cow Up A Tree,Memorials & Sculptures,Arts & Heritage  - Sculpture - Docklands Sculpture - Cow Up a Tree,,-37.8171223481362,144.945279735113,,,,
103,Grey Street Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Fountain,,-37.8115435006444,144.982950886232,,,,
104,Farnex Hercules,Memorials & Sculptures,Arts & Heritage  - Sculpture - Sculpture,,-37.8211092934829,144.969673116962,,,,
105,R.J. & F.G.J. Hardy Memorial Drinking Fountain|Also Know as Hardy Drinking Fountain,Memorials & Sculptures,Arts & Heritage  - Memorials - Drinking Fountain,,-37.7855912778371,144.969314216893,,,,
106,Pioneer Monument,Memorials & Sculptures,Arts & Heritage  - Sculpture - Monument,,-37.8108013544726,144.953954525604,,,,
