service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
8aaf973f-acca-de4d-3133-3a440753bd9e,CLOSED,Kate Earl - Psychologist,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Level 2,420 Collins Street",Melbourne,VIC,3000,-37.8170193,144.9581141,,,
67344d2a-f447-4470-8bef-9a33df3c14fa,CLOSED,Core Life Psychology,,09:00:00 - 19:00:00,09:00:00 - 17:00:00,09:00:00 - 19:00:00,09:00:00 - 15:00:00,165 Drummond Street,Carlton,VIC,3053,-37.80251,144.967692,,,
d2b2bb94-9d04-4688-af89-9bdbb24190eb,CLOSED,Francesca De Maria Counselling,10:00:00 - 19:00:00,10:00:00 - 19:00:00,10:00:00 - 19:00:00,10:00:00 - 19:00:00,10:00:00 - 19:00:00,Confidential Address,Melbourne,VIC,3000,-37.82505258,144.97150601,,,
dd293b0a-b25c-4b00-9176-77a65f65eac8,CLOSED,St Vincent's Hospital On The Park - Rehabilitation Care Centre,08:30:00 - 16:30:00,08:30:00 - 16:30:00,08:30:00 - 16:30:00,08:30:00 - 16:30:00,08:30:00 - 16:30:00,"Level 3,11 Cathedral Place",East Melbourne,VIC,3002,-37.81114121,144.97783501,,,
d1e907a8-90dc-46be-b3d7-bd52991a1c2f,CLOSED,Daniella Carfi Counselling,07:00:00 - 15:00:00,07:00:00 - 15:00:00,07:00:00 - 15:00:00,07:00:00 - 15:00:00,07:00:00 - 15:00:00,"Suite 1012, Level 10 (Exchange Tower),530 LITTLE COLLINS STREET",Melbourne,VIC,3000,-37.81687975,144.95710996,,,
1c30207d-2220-4799-8921-24d0d481e096,CLOSED,Psychology Melbourne,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:00:00,"Shop 2,50 Queen Street",Melbourne,VIC,3000,-37.81758586,144.96218868,09:00:00 - 15:00:00,,
786c6206-bdfd-405e-a0f9-8bb896e568ac,CLOSED,Clarity Psychological Services,09:00:00 - 19:00:00,09:00:00 - 19:00:00,09:00:00 - 17:00:00,09:00:00 - 19:00:00,09:00:00 - 17:00:00,"Shop 28B,255 Drummond Street",Carlton,VIC,3053,-37.799824,144.96780656,09:00:00 - 12:00:00,,
1f24effa-211c-458c-9267-249da9aa5a0a,CLOSED,ATENTA Relationship Counselling,09:00:00 - 21:00:00,08:00:00 - 21:00:00,08:00:00 - 21:00:00,08:00:00 - 21:00:00,08:00:00 - 15:00:00,62 Wellington Parade,Melbourne,VIC,3004,-37.8165092,144.98807809,09:00:00 - 15:00:00,,
d8557c6f-36bb-5d55-d9bb-3c2832289f42,CLOSED,Ms Flora Pearce - Counselling,,,08:00:00 - 19:00:00,08:00:00 - 19:00:00,16:00:00 - 18:00:00,"Greenview Corporate Centre,Level 2 Suite 24,20 Commercial Road",Melbourne,VIC,3004,-37.84458923,144.97987366,,,
0a531899-e592-45c5-6988-4535012327fa,CLOSED,Debi Hamilton Counselling & Consulting - Melbourne,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,Confidential Address,Carlton,VIC,3053,-37.80101395,144.96975708,,Debi Hamilton Counselling And Consulting,
e4f324e1-e9b0-6e78-bc64-b7d8b68ea957,CLOSED,Centre for Clinical Psychology,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,09:00:00 - 20:00:00,"SHOP 19,255 DRUMMOND STREET",Carlton,VIC,3053,-37.799824,144.96780656,08:00:00 - 13:00:00,The Trustee for APPN Unit Trust,
ce1da898-7938-d5b3-21a1-6c228f92f97b,CLOSED,Sean Cuthbert Clinical Psychologist,,09:00:00 - 17:00:00,,,09:00:00 - 17:00:00,"Suite 1012,530 Little Collins Street",Melbourne,VIC,3000,-37.81687546,144.95709229,,,
0213994e-a67b-4fc5-9bfc-fd54e55ca72b,CLOSED,BMD Psychology,08:00:00 - 14:30:00,08:00:00 - 19:30:00,,08:00:00 - 17:00:00,08:00:00 - 12:30:00,"The Spencer West End Apartments,Unit 5/710,10 Wominjeka Walk",West Melbourne,VIC,3003,-37.80999814,144.94968673,08:00:00 - 12:30:00,,
48ec7b73-1c91-4aa3-a606-fb03e4a3cd30,CLOSED,Clinical Psychology,09:00:00 - 20:00:00,09:00:00 - 18:00:00,09:00:00 - 20:00:00,09:00:00 - 18:00:00,09:00:00 - 18:00:00,"S09037,LEVEL 7,276 FLINDERS STREET",Melbourne,VIC,3000,-37.81764678,144.96507966,14:00:00 - 15:00:00,,
