name,address,suburb,category,seating_type,seats,latitude,longitude,census_year
Hell'S Kitchen,Mezzanine 20A Centre Place MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,55,-37.8166033,144.965596537,2024
Ojika Japanese,6 Centre Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,4,-37.8166033,144.965596537,2024
Lustre Bar / 3 Lt Monkeys,4-4A Centre Place MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,8,-37.8166033,144.965596537,2024
Three Drops Espresso,"Shop 6, Ground 227 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,6,-37.81584476,144.966330378,2024
Brunetti Oro Flinders Lane,Ground 250 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,300,-37.81635062,144.965651032,2024
Brunetti Oro Flinders Lane,Ground 250 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,20,-37.81635062,144.965651032,2024
Liminal Melbourne,Lobby 161 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,112,-37.81543178,144.968755295,2024
Box Seafood Restaurant,189 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.81546677,144.967706535,2024
Lobby Lounge,Part 205 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,70,-37.81584777,144.967430346,2024
No 100,"Shop 5D, 100 Flinders Lane MELBOURNE VIC 3000",Melbourne (CBD),"Pubs, Taverns and Bars",outdoor,8,-37.81492031,144.970749785,2024
No 100,"Shop 5D, 100 Flinders Lane MELBOURNE VIC 3000",Melbourne (CBD),"Pubs, Taverns and Bars",indoor,50,-37.81492031,144.970749785,2024
Mamasita,Level 1 11 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,70,-37.81377997,144.973462178,2024
Dame Melbourne,"Shop 3, 45 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,60,-37.81430615,144.972628037,2024
Kenzan Japanese Restaurant,"Shop 13-17, 45 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.81430615,144.972628037,2024
Il Mercato Centrale,Part Ground & Part Level 1 & 2 546 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,1300,-37.81824464,144.955844585,2024
Rustica,"Shop 11, Podium 525 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,21,-37.81866171,144.957538457,2024
Vue De Monde / The Lui Bar,Level 55S 525 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81866171,144.957538457,2024
@  Cafe 45,Part Ground 45 William Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,25,-37.81858017,144.959122077,2024
Collins Coffee House,Part Ground 395 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.8173062,144.961438973,2024
Bluebag,"Part Ground, Bmt & Part Mezzanine 405-407 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,20,-37.81745676,144.961113101,2024
Dr Watson'S Bar / The Sherlock Holmes Inn,Gnd & Bmt 417 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,150,-37.81746814,144.960868045,2024
The Whisky Boutique / Ms Collins,Ground & Mezzanine 425 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,150,-37.81752881,144.960653096,2024
Axil Coffee Roasters,"Shop 6, Ground 441 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,45,-37.8180082,144.959868643,2024
First Love Coffee Collins St,"Shop 4, Ground 433 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,16,-37.8180082,144.959868643,2024
Strozzi Restaurant,Part Ground 333 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,90,-37.81706704,144.963253733,2024
Vapiano,"Tenancy 3-5, 332-340 Flinders Lane MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,400,-37.81722704,144.962788805,2024
Cha Ching Eatery,"Tenancy 3, 348 Flinders Lane MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.81728432,144.96244181,2024
Falcon 367,"Tenancy G5, 367 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,52,-37.81728432,144.96244181,2024
Mensousai Mugen,11 Bligh Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,35,-37.81686635,144.963649766,2024
Kim Sing Restaurant,Gnd & Bmt 310 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,120,-37.81726468,144.963682753,2024
Robot Bar,12 Bligh Place MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,40,-37.81719967,144.963897021,2024
Trinket,Part Gnd & Bmt 87 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,80,-37.81542975,144.971392515,2024
Garden State Hotel,95-101 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,326,-37.81553246,144.971103877,2024
Garden State Hotel,95-101 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",outdoor,8,-37.81553246,144.971103877,2024
Lee Ho Fook,11-15 Duckboard Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,70,-37.81559017,144.971315408,2024
Eau De Vie,Rear 88 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,120,-37.81587662,144.971675624,2024
Cecconi'S Flinders Lane,61 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,12,-37.81506474,144.972512283,2024
Tom Thumb Espresso,55 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,15,-37.81485549,144.972835247,2024
Tom Thumb Espresso,55 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,10,-37.81485549,144.972835247,2024
Elchi,68 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.8154618,144.972720907,2024
Little Bang Espresso,Part Level 22 8 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.8154618,144.972720907,2024
Spudbar Collins Street 567,"Tenancy 7B, Ground 567 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,16,-37.81902044,144.955727469,2024
Krispy Kreme,Shop 607 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,4,-37.81929311,144.95469003,2024
Greta,"Tenancy 5-6, Ground 477 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,65,-37.8184145,144.958548349,2024
Bluestone Wine Lounge,Part Ground 495 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,10,-37.81853877,144.958118475,2024
Square One,"Shop 1, Podium 525 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,120,-37.81866171,144.957538457,2024
Baza Melbourne,"Shop 10, Podium 525 Collins Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,25,-37.81866171,144.957538457,2024
The Journal Cafe,Part Ground 253-265 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,14,-37.81706291,144.965902771,2024
Mock Turtle Degraves,34 Degraves Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,12,-37.81706291,144.965902771,2024
Cafe Andiamo,36-38 Degraves Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,68,-37.81706291,144.965902771,2024
Pa Tong,271-273 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,78,-37.81710105,144.965484351,2024
Grill'D,15 Degraves Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,10,-37.8176078,144.965626331,2024
Ii Tempo,11 Degraves Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,45,-37.8176078,144.965626331,2024
Young & Jacksons,Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,120,-37.817356,144.96702296,2024
Kisume,"Basement, Ground & Level 1 175-177 Flinders Lane MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,150,-37.81618641,144.968676799,2024
Toffee Cafe,Part Ground 196 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,20,-37.81673488,144.968143252,2024
Movida Next Door,"Shop 3-4, 164 Flinders Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81670922,144.96908618,2024
Movida,"Shop 5, 1 Hosier Lane MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,70,-37.81670922,144.96908618,2024
Gimlet,Ground 33 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,120,-37.81598753,144.969247753,2024
Le Petit Cafe,"Shop 4, 9 Exhibition Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,14,-37.81584246,144.97204113,2024
The French Brasserie,2 Malthouse Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,85,-37.81546152,144.971726206,2024
The Fair Trader Cafe,Part Ground 11 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,100,-37.81546152,144.971726206,2024
Grill'D,83 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,36,-37.81546152,144.971726206,2024
K-Rib By Kass Kass,"Shop 1, 500 Flinders Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,56,-37.81999599,144.957828786,2024
Upstanding Citizens Flinders,"Shop 3-4, Ground 452 Flinders Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,40,-37.81946849,144.958601136,2024
Williams Bar & Café,Restaurant 1 William Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,16,-37.81943285,144.959510539,2024
Mokaa,"Shop 3-4, 15 William Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,16,-37.8192157,144.959187534,2024
Sergy Girl,Part Ground 15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,22,-37.8192157,144.959187534,2024
Simpsons Burgers,Part Ground 40 Market Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,14,-37.81848796,144.961133901,2024
Koffi Bar,Part Ground 31 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,36,-37.81822749,144.961779888,2024
Koffi Bar,Part Ground 31 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,16,-37.81822749,144.961779888,2024
Mcdonalds,11-15 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,130,-37.81782922,144.964499543,2024
Nando'S,Ground 27-29 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,40,-37.81754523,144.964368397,2024
Oh! Pho,"Shop 5, 35 Elizabeth Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,73,-37.81741877,144.964331538,2024
Cuff,Part Ground 325 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,100,-37.81775826,144.963490994,2024
Cuff,Part Ground 325 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,20,-37.81775826,144.963490994,2024
Magic Momo Kafe On Flinders,Part Ground 335 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,75,-37.81784765,144.963225776,2024
Sal'S Authentic New York Pizza,"Shop 1, 289 Flinders Lane MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,32,-37.81719024,144.96496778,2024
Desi Adda,10 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,30,-37.81763649,144.96509495,2024
Noulboo Korean Chicken & Pork,551 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,46,-37.82099397,144.956518441,2024
The Fresh Collective,"Tenancy 8, Alfred Deakin Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,60,-37.81784465,144.969917465,2024
Transit Rooftop Bar,"Tenancy 29, Level 2 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),"Pubs, Taverns and Bars",outdoor,100,-37.81784465,144.969917465,2024
Transport Hotel,"Tenancy 29, Ground 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),"Pubs, Taverns and Bars",indoor,200,-37.81784465,144.969917465,2024
Taxi Kitchen,"Tenancy 29, Level 1 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,160,-37.81784465,144.969917465,2024
Mr Huang Jin,22 Katherine Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,34,-37.81988483,144.956601666,2024
Romo Pizza Bar,21 Katherine Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,25,-37.81988483,144.956601666,2024
Kebab Kingz Melbourne Pty Ltd,Ground 520-522 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,18,-37.82024345,144.956883655,2024
State Of Grace,"Basement, Ground, Mezzanine & Level 5 27 King Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,174,-37.81975559,144.956948504,2024
Stubby Cafe Bar & Restaurant,Lobby 16 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,50,-37.82050677,144.955242109,2024
Sushi-Ya,"Shop E3, 12 Southern Cross Lane MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,56,-37.81281453,144.970109211,2024
Mad Mex,"Shop E5, 8 Southern Cross Lane MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,41,-37.81281453,144.970109211,2024
Spleen Central,41 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",outdoor,12,-37.81193572,144.97204722,2024
Lane'S Edge Cafe,39 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,26,-37.81193572,144.97204722,2024
Spaghetti Tree,Ground 59-63 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,280,-37.81212537,144.971565871,2024
Magpie Nest Cafe,Ground 69 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,150,-37.81227428,144.971449909,2024
Beef Rice Noodle Bar,146 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,outdoor,2,-37.812234,144.970902899,2024
Morris House,114-122 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,250,-37.81285806,144.971199869,2024
Cherry Bar,68-70 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,60,-37.81284117,144.971331086,2024
Magic Mountain Saloon,62-66 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,120,-37.81280958,144.971441987,2024
Waiters Restaurant,Level 1 20 Meyers Place MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,55,-37.81207814,144.972350463,2024
San Telmo Restaurant,"Shop 2, 12-18 Meyers Place MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,85,-37.81221616,144.972450949,2024
Pizza Pizza Pizza,"Shop 1, 12-18 Meyers Place MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,25,-37.81221616,144.972450949,2024
Theory,Ground 19-23 Meyers Place MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",outdoor,30,-37.8121518,144.972107737,2024
King Jons,185 King Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,47,-37.81584127,144.955149184,2024
Mail Exchange Hotel,Part Basement 688 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),"Pubs, Taverns and Bars",indoor,200,-37.81663038,144.953590188,2024
La Di Da,188-200 King Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,250,-37.81551353,144.955624348,2024
Chilangos,"Tenancy 21, Ground 550 Bourke Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,16,-37.81531863,144.957392295,2024
Sakae,"Tenancy 12, Ground 181 William Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,outdoor,20,-37.81531863,144.957392295,2024
Dumpling Kingdom,"Tenancy 7, Ground 181 William Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,8,-37.81531863,144.957392295,2024
Abacus Cbd,Tenancy Lobby 181 William Street MELBOURNE VIC 3000,Melbourne (CBD),Cafes and Restaurants,indoor,20,-37.81531863,144.957392295,2024
Silk Spoon,"Shop 6, 500 Bourke Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,68,-37.81494883,144.95876067,2024
Sushi On Little Bourke,"Shop 3, 500 Bourke Street MELBOURNE VIC 3000",Melbourne (CBD),Cafes and Restaurants,indoor,44,-37.81494883,144.95876067,2024
