type,name,address,artist,year,description,latitude,longitude
Fountain,Mockridge Fountain,"City Square, Collins St, MELBOURNE","Ron Jones, Simon Perry and Darryl Cowie",c. 2000,Concrete fountain,-37.8155224156707,144.966994359113
Art,Signature Work,"22 Waterview Walk, DOCKLANDS",Emily Floyd,2004,Painted aluminium sculpture,-37.8192431329106,144.947246784778
Monument,Captain Matthew Flinders Statue,"30 Swanston Street, MELBOURNE",Sculptor Charles Web Gilbert; founder F. Barbedienne,1923,Bronze statue with granite plinth,-37.8169633123315,144.967487606224
Art,Art Wall,"160 Harbour Esplanade, DOCKLANDS",Peter D. Cole,2000,3D Installation,-37.8155779391708,144.946321235909
Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8202412036118,144.959153249799
Monument,Passage,"92 Therry Street, MELBOURNE",Mark Stoner,1994,Bluestone sculpture,-37.8074524440917,144.958306664206
Art,Silence,"50 Newquay Promenade, DOCKLANDS",Adrian Mauriks,2003,Sculpture,-37.8150519675867,144.941598936717
Art,Fault Line,"8 Riverside Quay, SOUTHBANK",Hossein Valamesh,1996,"Sandstone, wood and bronze sculpture",-37.8211525582271,144.964238031747
Art,Speakers Corner,"Birrarung Marr, MELBOURNE",Evangelos Sakaris,c. 2000,Earthwork and pink-granite memorial,-37.8200825876335,144.975716740604
Art,Painted Poles,"50 Swanston Street, MELBOURNE",Maree Clarke and Sonja Hodge,1992,Metal poles,-37.8162685331984,144.967006461765
Monument,Nurse Edith Cavell,"294 St Kilda Road, SOUTHBANK",Margaret Baskerville,1926,Marble bust with cast-bronze panels on granite pedestal,-37.8279878719975,144.973699196119
Art,Webb Bridge,"50 River Esplanade, DOCKLANDS",Robert Owen and Denton Corker Marshall,2003,Pedestrian and cyclist bridge,-37.8239756487966,144.947233077573
Art,Poise,"110 Harbour Esplanade, DOCKLANDS",Warren Langley,2005,Glass,-37.8180105674976,144.946830696021
Monument,John F. Kennedy Memorial,"3 Treasury Place, EAST MELBOURNE",Raymond B. Ewers,1965,Bronze bas-relief head set in granite boulder on landscaped site,-37.8136597830075,144.976354519479
Art,Painted Poles,"316 Swanston Street, MELBOURNE",Jennifer McCarthy,1992,Metal poles,-37.8100968762417,144.964165129049
Art,The Wave,"12 Georgiana Street, DOCKLANDS",Vashti Gonda,2006,Media installation,-37.821493403054,144.950437271721
Art,Fairies Tree,"88 Clarendon Street, EAST MELBOURNE",Ola Cohn,1934,Red Gum carving,-37.8134099807547,144.98110228888
Art,The Court Favourite,"394 William Street, MELBOURNE",Paul Montford,unknown,Bronze statue with granite pedestal,-37.81026401562,144.955039032582
Art,Henderson Drinking Fountain,"76 Errol Street, NORTH MELBOURNE",Walter MacFarlane,1877,Cast-iron drinking fountain,-37.8033418056724,144.949739183347
Art,Continuum,"17 Waterview Walk, DOCKLANDS",Michael Snape,2005,Sculpture,-37.8191896959513,144.946998425444
Art,Constellation,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202715915496,144.960597777255
Art,Constellation,"469 Flinders Street, MELBOURNE",Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202185496201,144.96072531937
Art,Ned and Dan,"37 Caravel Lane, DOCKLANDS",Alexander Knox,2006,Three-dimensional frieze,-37.81452427966,144.940608832218
Art,Weathervanes,"270 Bourke Street, MELBOURNE",Daniel Jenkins,1993,Hand-beaten copper sculpture with gold-leaf detail,-37.8134883855915,144.965515931433
Monument,Mary Gilbert Memorial,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Alisa O'Connor,1975,Cement fondue bust,-37.8140756651063,144.97856026709
Art,Walk of Stars,"435 Docklands Drive, DOCKLANDS",Peter Cortlett and Jamie Cooper,2006,Bronze statue and plaques,-37.8152456579572,144.938853960352
Art,Port Phillip Monument,"178 Sims Street, WEST MELBOURNE",unknown,1941,Basalt monument,-37.8056957854241,144.907291041632
Art,Bird Panels,76 Canning Street,Di Christensen and Bernice McPherson,1995,Stainless-steel panels,-37.7953526839703,144.940687314302
Art,Blowhole,"15 Harbour Esplanade, DOCKLANDS",Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219107218802,144.946765134735
Art,Threaded Field,"687 La Trobe Street, DOCKLANDS",Simon Perry,1999,Sculpture,-37.8155239604994,144.946828976445
