description,type,model,location,condition,latitude,longitude
Seat - Timber Bench - University Square,Seat,Seat - Timber Bench,"University Square approximately 33m West of Melbourne Business School Limited, 176-180 Leicester Street, Carlton, 3053",5.0,-37.80169400792244,144.9605537286956
Seat - Timber Bench - University Square,Seat,Seat - Timber Bench,"University Square approximately 37m SE of The University of Melbourne, 131-137 Barry Street, Carlton, 3053",5.0,-37.80105959408861,144.95992505493675
Seat - Unclassified - Lincoln Square,Seat,Seat - Unclassified,"Lincoln Square approximately 31m East of Centre For Neural Engineering, 197-203 Bouverie Street, Carlton, 3053",5.0,-37.80185641728367,144.96240281623116
Seat - Unclassified - Hub@Docklands,Seat,Seat - Unclassified,"Waterview Walk between Bourke Street and Batmans Hill Drive approximately 26m NW of APA VTS Australia (Operations) Pty Limited, LwrGround, 3-5 Waterview Walk, Docklands, 3008",5.0,-37.82020221846591,144.948061110716
Seat - Unclassified - Hub@Docklands,Seat,Seat - Unclassified,Hub@Docklands,5.0,-37.81987551659856,144.9473306026355
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Hub@Docklands,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Hub@Docklands approximately 31m NW of APA VTS Australia (Operations) Pty Limited, LwrGround, 3-5 Waterview Walk, Docklands, 3008",5.0,-37.82017775836843,144.9480020326732
Seat - Stainless Steel Curved - Narrow Stainless Slats,Seat,Seat - Stainless Steel Curved - Narrow Stainless Slats,"Collins Street between Exhibition Street and Russell Street approximately 7m NE of Alexandra Club Inc, 81 Collins Street, Melbourne, 3000",,-37.81426068936811,144.97107804803477
Seat - Straight Seat - Wooden Battens - Type 2 - Jolimont Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Jolimont Reserve approximately 39m North of Beddgood & Co, 137 Wellington Parade South, East Melbourne, 3002",3.0,-37.8163564563839,144.9801874711298
Seat - Alloy Frame and Narrow Wooden Slats - Birrarung Marr,Seat,Seat - Alloy Frame and Narrow Wooden Slats,"Birrarung Marr approximately 46m SW of Artplay, Artplay, Birrarung Marr, Batman Avenue, Melbourne, 3000",3.0,-37.81863275109885,144.97128743871724
Barbeque - Docklands Barbeque - All Chromed - Boyd Community Hub,Barbeque,Barbeque - Docklands Barbeque - All Chromed,"Kavanagh Street between Balston Street and Kings Way approximately 32m SW of 25 Balston Street, Southbank, 3006",5.0,-37.82601058338085,144.9618637841363
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fawkner Park approximately 97m SE of Simonds Hall, 120W Toorak Road, South Yarra, 3141",5.0,-37.83840071107561,144.9835119210952
Picnic Setting - Urban Design Style,Picnic Setting,Picnic Setting - unspecified,Birrarung Marr,4.0,-37.81980193182056,144.97478394793828
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Seafarer Lane between Bourke Street and Collins Street approximately 7m SW of Australia Post, 839 Bourke Street, Docklands, 3008",3.44,-37.82025935900444,144.94291248827147
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"The Gauge Site approximately 4m North of Woolworths Victoria Harbour, 65 Merchant Street, Docklands, 3008",3.44,-37.82051269611414,144.94396083541395
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Harbour Esplanade between Bourke Street and La Trobe Street approximately 44m East of Berth 7, 161 Harbour Esplanade, Docklands, 3008",3.44,-37.81583484519529,144.94544516364866
Seat - Stainless Steel Straight Seat - Docklands,Seat,Seat - Stainless Steel Straight Seat - Docklands,Victoria Harbour Promenade,3.44,-37.81887450227667,144.94377261671283
Seat - Metal frame Wooden Slats,Seat,Seat - Metal frame Wooden Slats,"Victoria Street between Howard Street and Chetwynd Street approximately 30m South of Victoria Body Works Pty Ltd, 380 Victoria Street, North Melbourne, 3051",3.03,-37.80571684769932,144.95331752040158
Seat - Wooden Bench,Seat,Seat - Wooden Bench,"NewQuay Promenade approximately 22m SE of Pleasure Cruising Club Inc/Boat4Hire, 84 Newquay Promenade, Docklands, 3008",3.15,-37.81566089695395,144.94001280232555
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Collins Street between Swanston Street and Elizabeth Street approximately 11m NE of Tiffany & Co., Gnd, Mezzanine & Lvl 1, 267 Collins Street, Melbourne, 3000",4.45,-37.81598949147993,144.9651551115971
Barbeque - Enterprize Park,Barbeque,Barbeque - Unknown model,"Enterprize Park approximately 80m SW of Customs Square, 401 Flinders Street, Melbourne, 3000",3.0,-37.82023906661578,144.95991043872718
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Lonsdale Street between Russell Street and Swanston Street approximately 4m North of Pacific BBQ Cafe, Ground, 213-215 Lonsdale Street, Melbourne, 3000",3.4,-37.81127431268379,144.96609663221207
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Spring Street between Collins Street and Little Collins Street approximately 19m NE of Returned Services League Of Aust (Vic Branch) Inc, Bmt, Gnd & Level 1-3 & 5, 4-6 Collins Street, Melbourne, 3000",3.42,-37.81319698844885,144.97374469190206
Seat - Stainless Steel Bench - Docklands - Victoria Green,Seat,Seat - Stainless Steel Bench - Docklands,"Victoria Green approximately 22m North of 23 Karlsruhe Lane, Docklands, 3008",4.0,-37.82060305603936,144.9452807937227
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Peel Street between Dudley Street and Victoria Street approximately 10m West of Market Kebab Cafe, Stall 24, Shed F, Queen Victoria Market, 66 Peel Street, Melbourne, 3000",3.41,-37.807115639803214,144.95593164435638
Seat - Straight Seat - Wooden Battens - Type 2 - JJ Holland Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"J J Holland Park approximately 96m North of The Bill Vanina Pavilion, The Bill Vanina Pavilion, 1A Childers Street, Kensington, 3031",3.0,-37.7981367379297,144.9240511461656
Seat - Metal Seat,Seat,Seat - Metal Seat,Cook Street Reserve,1.79,-37.82218771564792,144.9644634255435
Seat - Straight Seat - Wooden Battens - Type 2 - North Melbourne Community Centre (Open Space),Seat,Seat - Straight Seat - Wooden Battens - Type 2,"North Melbourne Community Centre approximately 46m East of DTS Food Assurance, Unit 2-3, 67 Boundary Road, North Melbourne, 3051",4.0,-37.79332122520888,144.93966639131523
Seat - Urban Design Park Style - Green Powder Coat - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Royal Park,3.0,-37.78747283484283,144.95466345850366
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Swanston Street between Flinders Lane and Collins Street approximately 6m SW of Rail Projects Victoria, Ground Town Hall Rail Station, 60 Swanston Street, Melbourne, 3000",4.44,-37.816117409016606,144.9669312196102
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between Bourke Street and Little Bourke Street approximately 7m NE of Lotte Travel Retail Australia Pty Ltd, 185 Swanston Street, Melbourne, 3000",3.16,-37.81322484653939,144.96538880482737
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between Bourke Street and Little Bourke Street approximately 8m East of Bupa, Shop 6, 201 Swanston Street, Melbourne, 3000",4.16,-37.81300952091156,144.96528771192035
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between A'Beckett Street and Franklin Street approximately 18m NW of RMIT University (City Campus), Gnd,Lvl 1 & 3, Pt Lvl 2 & 4, Lvl 5-15 Bld 12 RMIT, 394-412 Swanston Street, Melbourne, 3000",3.16,-37.80777624927751,144.96309561664867
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between A'Beckett Street and Franklin Street approximately 26m East of Royal Melbourne Institute Of Technology, Pt Gnd, Pt Lvls 2,7 & Levels 1, 3-6 & 8-11, 427-457 Swanston Street, Melbourne, 3000",3.16,-37.80815157496812,144.96327192344333
Seat - Stainless Steel Curved - Narrow Stainless Slats,Seat,Seat - Stainless Steel Curved - Narrow Stainless Slats,"River Esplanade between Mills Place and Riggers Place approximately 42m North of 62 South Wharf Drive, Docklands, 3008",3.44,-37.82196418690017,144.93737979229832
Seat - Metal Seat - Warun Biik Park,Seat,Seat - Metal Seat,Warun Biik Park,4.0,-37.79581605083537,144.92514104622842
Seat - Metal Seat - Kensington Banks Type - Warun Biik Park,Seat,Seat - Metal Seat - Kensington Banks Type,"Warun Biik Park approximately 35m South of 76 Henry Street, Kensington, 3031",3.0,-37.79627502906172,144.9259499708464
Seat - Straight Seat - Wooden Battens - Type 2 - Birrarung Marr,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Birrarung Marr approximately 81m SW of Care Park Pty Ltd, 100 Batman Avenue, Melbourne, 3004",3.0,-37.818415649362485,144.9745009153302
Seat - Stainless Steel Straight Seat - Docklands,Seat,Seat - Stainless Steel Straight Seat - Docklands,"NewQuay Promenade approximately 33m South of 76 Newquay Promenade, Docklands, 3008",3.44,-37.81568791296743,144.94016108993398
Seat - Straight Seat - Wooden Battens - Type 2 - Howard and William Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Howard & William Street Reserve approximately 26m NE of St Marys Star Of The Sea Catholic Church, 33 Howard Street, West Melbourne, 3003",4.0,-37.80622260633282,144.95348971763747
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,Treasury Gardens,4.0,-37.81437973339851,144.97601583515225
Seat - Wooden Slats set in Stonework,Seat,Seat - Wooden Slats set in Stonework,"Victoria Harbour Promenade approximately 53m NE of Victoria Harbour Promenade, 30 Victoria Harbour Promenade, Docklands, 3008",3.16,-37.81843978969715,144.944403009901
Seat - Wooden Slats set in Stonework,Seat,Seat - Wooden Slats set in Stonework,"Victoria Harbour Promenade approximately 69m NE of Victoria Harbour Promenade, 30 Victoria Harbour Promenade, Docklands, 3008",3.16,-37.818373673492246,144.9445699060024
Seat - Wooden Slats set in Stonework,Seat,Seat - Wooden Slats set in Stonework,"Victoria Harbour Promenade approximately 69m SW of 119-129 Harbour Esplanade, Docklands, 3008",3.16,-37.818135138994,144.94520530105848
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Royal Park approximately 76m East of Trin Warren Tam-boore Wetland, Rear, 1-69 Oak Street, Parkville, 3052",4.0,-37.78297956185507,144.9418702885437
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Grattan Street between Swanston Street and Bouverie Street approximately 27m East of Teaser Carlton, 163 Grattan Street, Carlton, 3053",3.41,-37.80049198107528,144.96374391208968
Picnic Setting - Urban Design Style - Flagstaff Gardens,Picnic Setting,Picnic Setting - Urban Design Style,"Flagstaff Gardens approximately 36m North of City of Melbourne, Flagstaff Gardens Tennis Courts, Flagstaff Gardens, 311 William Street, West Melbourne, 3003",3.0,-37.8096172987597,144.95501790459758
Seat - Straight Seat - Wooden Battens - Type 2 - Alexandra Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Alexandra Gardens approximately 32m SW of CitiPower Pty Ltd, Substation Alexandra Gardens, Alexandra Avenue, Melbourne, 3004",3.0,-37.82054461501622,144.9727692052933
Seat - Straight Seat - Wooden Battens - Type 2 - Neill Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Neill Street Reserve approximately 90m NW of Carlton Primary School, 425-469 Rathdowne Street, Carlton, 3053",3.0,-37.79514741189325,144.96982776495258
Seat - Straight Seat - Wooden Battens - Type 2 - Neill Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Neill Street Reserve approximately 30m NW of Church Of All Nations, Church, 178-204 Palmerston Street, Carlton, 3053",3.0,-37.7957157055105,144.9686211224917
Drinking Fountain - Leaf Type - Dog Bowl  - Neill Street Reserve,Drinking Fountain,Drinking Fountain - Leaf Type - Dog Bowl,"Neill Street Reserve approximately 39m North of 207 Palmerston Street, Carlton, 3053",4.0,-37.79583501177402,144.96807205336754
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Royal Park approximately 91m NE of Tenancy 3, Ground, 48 Flemington Road, Parkville, 3052",3.0,-37.79502952555791,144.95113032516488
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Royal Park approximately 39m NE of Tenancy 3, Ground, 48 Flemington Road, Parkville, 3052",3.0,-37.79528441498394,144.95064040273323
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Collins Street between Merchant Street and Bourke Street approximately 4m NE of 893A Collins Street, Docklands, 3008",3.44,-37.82084240850234,144.94172083427014
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,Drinking Fountain,Drinking Fountain - Leaf Type - With Bottle Refill Tap,"Grey Street between Darling Street and Simpson Street approximately 28m South of 62 Grey Street, East Melbourne, 3002",3.24,-37.81232314728076,144.98893301349375
Seat - Metal Seat,Seat,Seat - Metal Seat,"Therry Street between Elizabeth Street and Queen Street approximately 15m SW of Joe Leuzzi Flowers Pty Ltd, Kiosk, 90 Therry Street, Melbourne, 3000",3.16,-37.80754581353693,144.9582612092168
Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,Drinking Fountain,Drinking Fountain - Treated Timber Drinking Fountain,"Batman Park approximately 79m South of 62 Rebecca Walk, Melbourne, 3000",4.0,-37.82220232720067,144.956603131736
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Alexandra Gardens,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Alexandra Gardens,3.0,-37.82072500491043,144.97068041637496
Seat - Stainless Steel Seat - 3m & LED lights,Seat,Seat - Stainless Steel Seat - 3m & LED lights,"Approximately 94m SE of Them Authentic Vietnamese Cuisine & Rolls, Unit 13, Ground, 60 Siddeley Street, Docklands, 3008",1.67,-37.82320529240344,144.9529640860591
Seat - Timber Seat with Aluminium Legs - Docklands,Seat,Seat - Timber Seat with Aluminium Legs - Docklands,"River Esplanade approximately 12m NW of Premier Yachting Pty Ltd, 52 River Esplanade, Docklands, 3008",3.16,-37.824215243070135,144.9474621177648
Seat - Timber Bench with Aluminium Legs - Docklands,Seat,Seat - Timber Bench with Aluminium Legs - Docklands,"River Esplanade approximately 54m East of 82 River Esplanade, Docklands, 3008",3.16,-37.824383362444976,144.9456720786685
Seat - Timber Seat with Aluminium Legs - Docklands,Seat,Seat - Timber Seat with Aluminium Legs - Docklands,"River Esplanade approximately 17m NE of 116 River Esplanade, Docklands, 3008",3.16,-37.823815283785216,144.9433039729547
Seat - Metal Bench - William Street (MELBOURNE),Seat,Seat - Metal Bench,"Capel Street between William Street and Victoria Street approximately 10m West of 8 Capel Street, West Melbourne, 3003",3.0,-37.80791267533733,144.95484378462703
Seat - Metal Bench - North Melbourne Recreation Reserve,Seat,Seat - Metal Bench,"North Melbourne Recreation Centre Aquatic Centre approximately 31m NE of Citipower Sub No.30W, Substation 30, 202 Arden Street, North Melbourne, 3051",3.0,-37.7999406004392,144.94318083529117
Seat - Older Style Park Seat - Metal - Murchison Square,Seat,Seat - Older Style Park Seat - Metal,"Murchison Square approximately 33m SW of 23-57 Murchison Street, Carlton, 3053",4.0,-37.80024877144113,144.97293322295138
Seat - Concrete Bench Seat,Seat,Seat - Unclassified,"University Square approximately 34m West of Graduate Union Of The University Of Melbourne Inc, 216-228 Leicester Street, Carlton, 3053",3.0,-37.800629772534734,144.96073382895597
Seat - Concrete Bench Seat,Seat,Seat - Unclassified,"University Square approximately 45m East of Australia India Institute, 147-149 Barry Street, Carlton, 3053",3.0,-37.80062097713424,144.9601271326529
Seat - Concrete Bench Seat,Seat,Seat - Unclassified,"University Square approximately 53m East of Faculty Of Music, 151 Barry Street, Carlton, 3053",3.0,-37.80054668082338,144.96023411879713
Seat - Basic Style,Seat,Seat - Unclassified,Kings Domain,4.0,-37.826821867161705,144.97335670532755
Seat - Straight Seat - Wooden Battens - Type 2 - Princes Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Princes Park,3.0,-37.78208134571686,144.96275380051128
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fawkner Park approximately 99m East of CitiPower Pty Ltd, Substation 28, 30 Commercial Road, South Yarra, 3141",3.0,-37.84501622600203,144.9817707320871
Seat - Straight Seat - Wooden Battens - Type 2 - Kings Domain,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Kings Domain South approximately 11m West of The Gardens Shop, Gardens Shop, 100 Birdwood Avenue, Melbourne, 3004",4.0,-37.82997271819848,144.97456006734052
Seat - Straight Seat - Wooden Battens - Type 2 - Gordon Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Gordon Reserve,3.0,-37.812322017507405,144.9739741021183
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 80m NE of City of Melbourne, Jolimont Reserve, Wellington Parade South, East Melbourne, 3002",4.0,-37.81577984245912,144.98110469674322
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 100m SW of Vizard Foundation House, 68-70 Clarendon Street, East Melbourne, 3002",3.0,-37.81479665365534,144.98210863440784
Seat - Straight Seat - Wooden Battens - Type 2 - Fawkner Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fawkner Park approximately 79m North of City of Melbourne, Southern Pavilion, Fawkner Park, Commercial Road, South Yarra, 3141",3.0,-37.84249021198539,144.98197971394572
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Fitzroy Gardens,3.0,-37.81584886020118,144.98171374373723
Seat - Straight Seat - Wooden Battens - Type 2 - Treasury Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Treasury Gardens,3.0,-37.81463285328488,144.97703196343772
Seat - Straight Seat - Wooden Battens - Type 2 - Powlett Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Powlett Reserve approximately 41m North of 47 Grey Street, East Melbourne, 3002",4.0,-37.81185987509388,144.9879057678218
Picnic Setting - Urban Design Style,Picnic Setting,Picnic Setting - unspecified,Royal Park,3.0,-37.782924694898895,144.94344465431524
Seat - Straight Seat - Wooden Battens - Type 2 - Flagstaff Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Flagstaff Gardens,4.0,-37.81055190261419,144.9539697039757
Seat - Straight Seat - Wooden Battens - Type 2 - Flagstaff Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Flagstaff Gardens approximately 93m SW of Flagstaff Lodge, Flagstaff Lodge, Flagstaff Gardens, 309 William Street, West Melbourne, 3003",4.0,-37.81144932735557,144.95501960689816
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens North,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Carlton Gardens North approximately 42m South of 18 Carlton Street, Carlton, 3053",3.0,-37.8014197900178,144.97352121406297
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens North,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Carlton Gardens North,3.0,-37.802186965103424,144.9712079325919
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens North,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Carlton Gardens North,4.0,-37.802037048632414,144.97137762899848
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Carlton Gardens South,3.0,-37.8055493090741,144.97335642468298
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Carlton Gardens South approximately 59m NE of 2 La Trobe Street, Melbourne, 3000",4.0,-37.807174036159495,144.9703944852529
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 25m SW of The Pavilion, The Pavilion, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",4.0,-37.81331052565631,144.9811100594116
Seat - Straight Seat - Wooden Battens - Type 2 - Powlett Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Powlett Reserve approximately 39m SE of 167 Powlett Street, East Melbourne, 3002",4.0,-37.81140894670421,144.98626753573893
Seat - Straight Seat - Wooden Battens - Type 2 - Treasury Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Treasury Gardens,4.0,-37.81459497526222,144.97482844998305
Seat - Straight Seat - Wooden Battens - Type 2 - Carlton Gardens South,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Carlton Gardens South,3.0,-37.80551085897218,144.9732429857237
Seat - Straight Seat - Wooden Battens - Type 2 - Fitzroy Gardens,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Fitzroy Gardens approximately 40m North of City of Melbourne, Nursery & Depot, Fitzroy Gardens, 264 Wellington Parade, East Melbourne, 3002",3.0,-37.81531558986923,144.98011883022414
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between Little Lonsdale Street and La Trobe Street approximately 36m East of Melbourne Central Station, 183-201 La Trobe Street, Melbourne, 3000",3.16,-37.80994223688443,144.96387778054788
Seat - Metal Bench Around Tree Base,Seat,Seat - Metal Bench Around Tree Base,"Swanston Street between Little Lonsdale Street and La Trobe Street approximately 48m North of Unit 901, 339 Swanston Street, Melbourne, 3000",3.16,-37.80990686572119,144.96407844007734
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Flinders Street between Russell Street and Swanston Street approximately 11m East of Movida Next Door, Shop 3-4, 164 Flinders Street, Melbourne, 3000",3.45,-37.81678974689995,144.9693369693412
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Lonsdale Street between King Street and Spencer Street approximately 25m West of CitiPower Pty Ltd, Substation, 651-669 Lonsdale Street, Melbourne, 3000",3.25,-37.815185695578855,144.95257756009232
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Russell Street between Flinders Lane and Collins Street approximately 33m SW of Louis Vuitton, Gnd & Flr1, 139 Collins Street, Melbourne, 3000",3.42,-37.81506309138495,144.96899203807533
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Flinders Lane between Swanston Street and Elizabeth Street approximately 10m NW of Shop 3, 289 Flinders Lane, Melbourne, 3000",4.45,-37.81710776040804,144.96470669889322
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Flinders Lane between Swanston Street and Elizabeth Street approximately 3m SE of Aesop, Shop 1C, 284 Flinders Lane, Melbourne, 3000",3.45,-37.81702875102703,144.96495833250904
Seat - Straight Seat - Wooden Battens - Type 2 - JJ Holland Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"J J Holland Park approximately 32m South of The Venny Inc, The Venny, 85 Kensington Road, Kensington, 3031",4.0,-37.79714039246981,144.9232379574586
Picnic Setting - Urban Design Style - Fawkner Park,Picnic Setting,Picnic Setting - Urban Design Style,Fawkner Park,3.0,-37.83919264989558,144.98056179393186
Seat - Straight Seat - Wooden Battens - Type 2 - State Library of Victoria,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"State Library of Victoria approximately 45m NE of Unit 901, 339 Swanston Street, Melbourne, 3000",3.0,-37.810091367737634,144.96438778462436
Seat - Metal Seat,Seat,Seat - Metal Seat,"Intersection of Grant Street and Wells Street approximately 35m NW of 1 Wells Street, Southbank, 3006",2.99,-37.8253736488069,144.96910315915207
Seat - Urban Design Park Style - Green Powder Coat - Kings Domain,Seat,,Kings Domain,3.0,-37.82385511428023,144.9724411725169
Seat - Urban Design Park Style - Green Powder Coat - Royal Park,Seat,,Royal Park,4.0,-37.778622943858856,144.9559794707246
Barbeque - Urban Design Double Hotplate - Royal Park,Barbeque,Barbeque - Urban Design Double Hotplate,Royal Park,4.0,-37.785452334972696,144.94618801740162
Seat - Metal Bench,Seat,Seat - Metal Bench,"Swanston Street between Bourke Street and Little Bourke Street approximately 8m West of Melbourne Souvenirs, 224 Swanston Street, Melbourne, 3000",3.16,-37.812621079578925,144.96532223099643
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"River Esplanade approximately 6m NE of 101 River Esplanade, Docklands, 3008",3.44,-37.82413704723196,144.943590310956
Picnic Setting - Urban Design Style - Clayton Reserve,Picnic Setting,Picnic Setting - Urban Design Style,"Clayton Reserve approximately 27m SE of Pope Packaging, 5 Boundary Road, North Melbourne, 3051",4.0,-37.79684558175762,144.93873147721223
Seat - Straight Seat - Wooden Battens - Type 2 - Railway Place And Miller Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Railway Place & Miller Street Park,4.0,-37.8060490995556,144.94167358866795
Seat - Flat Bench Seat - L Shaped,Seat,Seat - Flat Bench Seat - L Shaped,"Queensberry Street between Swanston Street and Bouverie Street approximately 12m West of EzyMart, 172 Queensberry Street, Carlton, 3053",3.09,-37.80442575972633,144.96295472785434
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Parkville Gardens,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Galada Avenue Reserve approximately 42m West of 30 Bunjil Way, Parkville, 3052",4.0,-37.77955332201866,144.93984653851456
Seat - Stainless Steel Straight Seat - Docklands - Point Park,Seat,Seat - Stainless Steel Straight Seat - Docklands,"Point Park approximately 31m NE of 5 Point Park Crescent, Docklands, 3008",5.0,-37.82333137737501,144.94195410792548
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Royal Park approximately 38m West of City of Melbourne, Brens Pavilion, Royal Park, Macarthur Road, Parkville, 3052",4.0,-37.78648346882166,144.95452551986347
Seat - Unclassified - Riverside Quay (SOUTHBANK),Seat,Seat - Unclassified,Riverside Quay Reserve,4.0,-37.82119885009226,144.96402004096538
Seat - Unclassified - Riverside Quay (SOUTHBANK),Seat,Seat - Unclassified,Riverside Quay Reserve,4.0,-37.82114431485976,144.96372218960846
Seat - Unclassified - Riverside Quay (SOUTHBANK),Seat,Seat - Unclassified,"Riverside Quay between Cook Street and Southgate Avenue approximately 3m SW of Riverside Quay Reserve, 8-10 Riverside Quay, Southbank, 3006",4.0,-37.82131514758399,144.96404354234008
Seat - Metal Seat - Kensington Banks Type - Mercantile Park West,Seat,Seat - Metal Seat - Kensington Banks Type,"Approximately 13m NE of 30 Anderson Walk, Kensington, 3031",4.0,-37.796994290356935,144.92082101695436
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Royal Park,5.0,-37.79166622046467,144.94784233716464
