description,type,model,location,condition,latitude,longitude
Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Royal Park,4.0,-37.77723217959167,144.95068059593336
Seat - Stainless Steel Bench - Docklands,Seat,Seat - Stainless Steel Bench - Docklands,"Collins Street between Merchant Street and Bourke Street approximately 17m East of Winston Serviced Apartments, 891 Collins Street, Docklands, 3008",3.44,-37.82092623860842,144.9420726108622
Picnic Setting - unspecified - Point Park,Picnic Setting,Picnic Setting - unspecified,"Point Park approximately 35m NE of 9 Point Park Crescent, Docklands, 3008",3.0,-37.82303506103988,144.9414998423118
Seat - Metal Bench,Seat,Seat - Metal Bench,"Collins Street between Exhibition Street and Russell Street approximately 25m West of Aesop, Ground, 87 Collins Street, Melbourne, 3000",4.17,-37.814421172851794,144.97055418373805
Seat - Metal Bench,Seat,Seat - Metal Bench,"Collins Street between Exhibition Street and Russell Street approximately 7m NE of Bally, Ground, 107 Collins Street, Melbourne, 3000",3.17,-37.814489362015934,144.9703171742237
Seat - Straight Seat - Wooden Battens - Type 2 - Cardigan Street Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Cardigan Street Park approximately 17m NW of Melbourne Community Toy Library Inc, 469 Cardigan Street, Carlton, 3053",4.0,-37.79434600545785,144.96619327498925
Seat - Straight Seat - Wooden Battens - Type 2 - Leverson Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Leveson Street Reserve,4.0,-37.800505964738,144.95180842495876
Seat - Timber Bench - Ron Barassi Senior Park,Seat,Seat - Timber Bench,"Docklands Drive between Docklands Drive and Western Link Road approximately 90m NE of 534 Docklands Drive, Docklands, 3008",5.0,-37.81723234943576,144.93413308846706
Seat - Straight Seat - Wooden Battens - Type 2 - Jolimont Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Jolimont Reserve approximately 48m NE of 81 Wellington Parade South, East Melbourne, 3002",4.0,-37.81653783931513,144.9820150988995
Seat - Straight Seat - Wooden Battens - Type 2 - Ron Barassi Senior Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Ron Barassi Senior Park,4.0,-37.81602533334218,144.93441120013748
Seat - Timber Bench - Keppel Street Park,Seat,Seat - Timber Bench,Keppel Street Park,3.0,-37.79474617388132,144.96595585207604
Seat - Straight Seat - Wooden Battens - Type 2 - Sturt Street Reserve,Seat,Seat - Straight Seat - Wooden Battens - Type 2,Sturt Street Reserve,4.0,-37.82959416155349,144.96493046664668
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"Collins Street between Bourke Street and Sailmaker Way approximately 24m NE of 919 Collins Street, Docklands, 3008",3.44,-37.82034342836768,144.94031908099987
Picnic Setting - unspecified - Parsons Reserve,Picnic Setting,Picnic Setting - unspecified,"Parsons Street Reserve approximately 21m NE of 3 Davis Street, Kensington, 3031",3.0,-37.79004756056683,144.93096574017986
Seat - Straight Seat - Wooden Battens - Type 2 - Hawke and Adderley Street Park,Seat,Seat - Straight Seat - Wooden Battens - Type 2,"Hawke & Adderley Street Park approximately 16m East of 217 Adderley Street, West Melbourne, 3003",4.0,-37.80850243633499,144.9450624383117
Picnic Setting - Urban Design Style - Bellair Street Reserve,Picnic Setting,Picnic Setting - Urban Design Style,"Craigieburn Railway approximately 14m SE of Bellair Street Reserve, Bellair Street, Kensington, 3031",5.0,-37.79559633214363,144.93086669245656
Picnic Setting - Urban Design Style - Bellair Street Reserve,Picnic Setting,Picnic Setting - Urban Design Style,"Craigieburn Railway approximately 6m SE of Bellair Street Reserve, Bellair Street, Kensington, 3031",4.0,-37.795519270989736,144.9308455617539
Seat - Platform Style - Bellair Street Reserve,Seat,Seat - Platform Style,"Craigieburn Railway approximately 20m North of Bellair Street Reserve, Bellair Street, Kensington, 3031",4.0,-37.79531117026927,144.93084444086213
Barbeque - Urban Design Single Hotplate,Barbeque,Barbeque - Urban Design Single Hotplate,"Craigieburn Railway approximately 10m South of Bellair Street Reserve, Bellair Street, Kensington, 3031",4.0,-37.79557201558579,144.93078549022908
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Marmion Place from Aquitania Way approximately 21m North of Laurel Beauty And Spa, 9 Marmion Place, Docklands, 3008",4.29,-37.81343201948916,144.94273908609873
Seat - Stainless Steel Seat - Fixed,Seat,Seat - Stainless Steel Seat - Fixed,"Marmion Place from Aquitania Way approximately 18m North of Laurel Beauty And Spa, 9 Marmion Place, Docklands, 3008",4.29,-37.813454850071565,144.94277696038947
Seat - Stainless Steel Straight Seat - Docklands,Seat,Seat - Stainless Steel Straight Seat - Docklands,Victoria Harbour Promenade,3.44,-37.81962916452527,144.9415251753637
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,Drinking Fountain,Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"Waterside Place between Bourke Street and Victoria Harbour Promenade approximately 8m West of Min, 868 Bourke Street, Docklands, 3008",3.44,-37.82016422388396,144.9419807414183
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Russell Street between Little Lonsdale Street and La Trobe Street approximately 24m North of Officeworks, 277-281 Russell Street, Melbourne, 3000",3.42,-37.8097883557077,144.96656586311823
Seat - Stainless Steel Straight Seat,Seat,Seat - Stainless Steel Straight Seat,"Collins Landing approximately 60m SE of Pony Boy, Tenancy 4, 845 Collins Street, Docklands, 3008",3.44,-37.82191937174457,144.944504824321
