service_id,status,name,monday_open_hours,tuesday_open_hours,wednesday_open_hours,thursday_open_hours,friday_open_hours,address,city,state,postcode,latitude,longitude,saturday_open_hours,parent_org,sunday_open_hours
0afe35c6-0ea0-4c49-9fbc-83786daec778,CLOSED,St Kilda Road Medical Centre,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,"Level 1,391 St Kilda Road",Melbourne,VIC,3004,-37.83549118,144.97572327,09:00:00 - 13:00:00,PUBLIC HEALTH MANAGEMENT PTY LTD,
1d737ef7-3bce-418a-b2fe-17fee84caaf1,CLOSED,AIM Health Melbourne Student Medical Centre,09:30:00 - 17:30:00,09:30:00 - 17:30:00,09:30:00 - 17:30:00,09:30:00 - 17:30:00,09:30:00 - 17:30:00,"Level 1,253 Lonsdale Street",Melbourne,VIC,3000,-37.811677,144.965107,,,
9ed96f01-0b0f-454f-9f40-bd27a1462b38,CLOSED,The Royal Children's Hospital,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,50 Flemington Road,Parkville,VIC,3052,-37.79475021,144.95059204,,The Royal Children's Hospital,
b46e97cb-bc43-4e88-a451-fb797e51f867,CLOSED,Freshwater Place Medical,09:00:00 - 17:30:00,09:00:00 - 17:30:00,09:00:00 - 17:30:00,09:00:00 - 17:30:00,09:00:00 - 17:30:00,13-15/1 Freshwater Place,Southbank,VIC,3006,-37.8219223,144.96224976,,,
ac8a4d3b-e58b-498c-a079-5368d130f2a6,CLOSED,ELIZABETH PHARMACY,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"Shop 4A,60 Elizabeth Street",Melbourne,VIC,3000,-37.81659188,144.96497759,10:00:00 - 17:30:00,,
661716db-e154-44b7-a3b6-8985fa1af7e8,CLOSED,Elizabeth Pharmacy,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"Shop 4A,60 Elizabeth Street",Melbourne,VIC,3000,-37.81659188,144.96497759,10:00:00 - 17:30:00,,
348de362-3155-481e-80c2-8ed29c1563e3,CLOSED,Elizabeth Pharmacy,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"Shop 4A,60 Elizabeth Street",Melbourne,VIC,3000,-37.81659188,144.96497759,10:00:00 - 17:30:00,,
ccf2055e-0e2b-4039-8307-31eeaef19f4b,CLOSED,Elizabeth Pharmacy,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"Shop 4A,60 Elizabeth Street",Melbourne,VIC,3000,-37.81659188,144.96497759,10:00:00 - 17:30:00,,
b8752983-9c22-4a7d-a600-c0e21131cf73,CLOSED,Elizabeth Pharmacy,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 18:30:00,08:30:00 - 19:00:00,08:30:00 - 19:00:00,"Shop 4A,60 Elizabeth Street",Melbourne,VIC,3000,-37.81659188,144.96497759,10:00:00 - 17:30:00,,
3e438556-0d80-4e52-8121-6e617d835c5c,UNKNOWN,Elizabeth Pharmacy,,,,,,"Shop 4A,60 Elizabeth Street",Melbourne,VIC,3000,-37.81659188,144.96497759,,,
1ededfac-8428-d7f2-bdf9-7b8a8690a7e4,CLOSED,Youth Affairs Council Of Victoria,09:30:00 - 17:00:00,09:30:00 - 17:00:00,09:30:00 - 17:00:00,09:30:00 - 17:00:00,09:30:00 - 17:00:00,"Level 2,235 QUEEN STREET",Melbourne,VIC,3000,-37.8133138,144.95963976,,,
71c2d623-848a-4e13-ab01-005d2e2f71a6,CLOSED,Treasury Pharmacy,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,08:00:00 - 18:00:00,18 Collins St,Melbourne,VIC,3000,-37.813305,144.972892,,,
7e003232-4104-4c8a-a4d6-fa26056de275,CLOSED,MyHealth Medical Centre - Carlton,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,09:00:00 - 17:00:00,"Lygon Court Shopping Centre,Level 1 Suite 7,380 Lygon Street",Carlton,VIC,3053,-37.79806137,144.96818542,09:00:00 - 13:00:00,,
6ba0afed-40a5-49af-8a9f-f6729fb096be,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
2279a5ea-e8e4-4c30-8386-ab834ff1c2f8,CLOSED,Collins Street Medical Centre,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:30:00,08:00:00 - 16:00:00,"LEVEL 7,267 COLLINS STREET",Melbourne,VIC,3000,-37.81625164,144.965156,,,
